start_time,blog,post_count,title_fields,author_fields,date_fields,content_fields,labels_fields,comment-count_fields,title_cleaners,author_cleaners,date_cleaners,content_cleaners,labels_cleaners,comment-count_cleaners
2012-01-31 16:43:30.973497,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/thenewdisease.blogspot.com/,451,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:31.560098,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/scared-4-america.blogspot.com/,629,18,20,20,20,0,0,18,20,20,20,0,0
2012-01-31 16:43:31.883487,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/alankhenderson.blogspot.com/,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-31 16:43:31.945314,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/papertigertv.blogspot.com/,91,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:32.114412,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/tomnelson.blogspot.com/,40454,6,20,20,20,20,20,6,20,20,20,20,20
2012-01-31 16:43:33.447580,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/donmashakswasecacountymnfreepress.blogspot.com/,181,20,20,20,19,20,20,20,20,20,20,20,20
2012-01-31 16:43:33.812728,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/tallcotton-ppjakajim.blogspot.com/,2672,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:35.943540,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/maryland-politics.blogspot.com/,4545,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:36.744197,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/itdontmakesense.blogspot.com/,1534,19,20,20,20,20,20,19,20,20,20,20,20
2012-01-31 16:43:37.843987,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/tonyphyrillas.blogspot.com/,16919,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:39.148239,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/letlibertyring.blogspot.com/,589,0,0,0,0,20,20,0,0,0,0,20,20
